title = "The selected samples"
variables ="NO", "q1","q2","q3","q4","output"
zone T = "yplus=2.7183-4.4817"
92   0.724009   -0.004583   -0.021742   1.331311   0.002201   
93   0.654587   -0.004978   -0.020456   1.289535   0.001922   
94   0.585427   -0.005313   -0.019156   1.244726   0.001663   
95   0.517018   -0.005568   -0.017802   1.196910   0.001421   
52920   0.213436   0.000268   -0.000212   0.138948   0.000032   
53028   -0.001427   0.001161   0.001270   0.419193   0.000002   
53737   0.211798   -0.000539   0.000554   0.362163   0.000000   
53740   0.213425   -0.000022   0.000017   0.124217   0.000009   
53846   -0.001093   -0.001507   -0.001728   0.462300   0.000001   
54146   0.211792   -0.000108   0.000100   0.272541   0.000000   
54159   0.219587   0.001889   -0.001485   0.136652   0.000024   
54554   0.218994   -0.000526   0.000577   0.421968   0.000000   
54555   0.209076   0.000060   -0.000052   0.218136   0.000001   
54574   0.226838   0.002165   -0.001695   0.133703   0.000029   
54579   0.234708   0.003134   -0.002444   0.130547   0.000058   
54660   0.001531   -0.002757   -0.003256   0.489588   0.000000   
54664   0.002966   0.002714   0.002905   0.399353   0.000002   
54960   0.210606   0.002077   -0.002288   0.425640   0.000000   
54991   0.243292   0.003165   -0.002457   0.127277   0.000038   
54994   0.251102   0.003815   -0.002950   0.124291   0.000055   
54997   0.260247   0.004539   -0.003494   0.120828   0.000080   
55000   0.270700   0.005329   -0.004081   0.116893   0.000111   
55066   0.007413   -0.003854   -0.004740   0.526647   0.000001   
55072   0.007212   0.002759   0.002902   0.383645   0.000003   
55073   0.012447   0.003357   0.003465   0.366456   0.000012   
55074   0.018616   0.003910   0.003954   0.348118   0.000028   
55075   0.025578   0.004435   0.004388   0.328740   0.000049   
55076   0.033202   0.004946   0.004783   0.308500   0.000071   
55077   0.041360   0.005456   0.005151   0.287570   0.000096   
55171   0.225923   0.001015   0.000230   0.398911   0.000193   
55409   0.282648   0.003343   -0.002545   0.112481   0.000046   
55411   0.291280   0.003676   -0.002787   0.109295   0.000055   
55413   0.300591   0.004022   -0.003035   0.105904   0.000066   
55415   0.310608   0.004381   -0.003289   0.102083   0.000077   
55417   0.321325   0.004758   -0.003551   0.097726   0.000091   
55419   0.332789   0.005145   -0.003815   0.092811   0.000106   
